,0,1,2,3
0,1.442,1.922,1.301,10.41
1,3.006,1.299,1.671,6.305
2,1.688,4.143,1.323,6.415
3,1.44,2.499,1.677,9.12
4,2.756,1.673,1.896,8.888
5,1.925,1.793,1.677,13.943
6,0.792,1.774,2.465,14.382
7,2.823,1.487,1.607,8.196
8,3.6,1.352,0.732,11.486
9,1.327,1.938,2.51,10.645
10,1.442,1.333,1.612,9.161
11,1.435,1.438,2.039,8.678
12,2.627,1.383,1.782,9.724
13,4.894,2.135,1.209,8.876
14,2.785,1.801,1.541,7.385
15,1.186,2.86,2.256,8.029
16,2.371,2.386,1.438,12.897
17,2.935,1.342,1.771,11.854
18,2.266,1.571,1.428,10.596
19,2.016,1.929,2.133,7.694
20,2.536,1.561,1.425,10.355
21,1.2,1.323,1.183,8.335
22,1.322,1.669,1.311,9.683
23,2.613,1.557,1.541,9.909
24,1.203,1.685,1.916,6.38
