,0,1,2,3
0,0.245,0.374,1.206,6.447
1,1.067,0.953,1.318,7.199
2,2.283,1.323,1.43,10.459
3,1.793,1.309,1.439,8.066
4,3.676,1.435,1.568,8.859
5,1.562,1.095,1.185,12.592
6,3.1,1.204,1.316,6.728
7,1.1,1.308,1.296,13.66
8,2.269,1.596,2.03,12.028
9,1.426,1.281,1.664,12.137
10,2.742,1.083,1.68,12.63
11,2.838,1.446,1.428,10.062
12,3.328,1.328,1.43,10.186
13,2.739,1.693,2.159,13.892
14,3.344,1.671,1.178,10.645
15,1.085,1.809,2.482,11.551
16,1.316,0.961,1.53,7.12
17,1.079,1.579,1.795,6.361
18,2.748,1.698,2.515,8.512
19,0.847,1.449,0.842,8.507
20,3.961,1.673,1.08,10.541
21,1.201,1.696,1.311,8.87
22,1.565,1.807,2.158,7.557
23,0.975,1.799,2.023,9.829
24,0.955,1.808,1.43,9.603
