,0,1,2,3
0,1.429,1.787,1.547,11.584
1,1.676,1.071,1.471,7.032
2,1.863,1.853,0.0,10.985
3,2.053,1.291,1.684,6.572
4,1.21,1.709,1.426,10.596
5,2.761,1.317,1.44,9.93
6,1.205,1.688,1.198,12.77
7,1.571,2.269,1.677,8.509
8,2.408,1.323,1.573,9.177
9,1.198,2.526,1.324,13.791
10,1.425,1.325,1.678,8.296
11,1.098,1.439,1.704,9.987
12,1.083,1.682,1.978,10.516
13,1.317,1.335,0.0,11.144
14,1.673,1.936,1.425,11.089
15,1.069,2.636,1.453,8.292
16,2.758,1.671,1.557,11.96
17,2.021,1.786,2.385,7.894
18,1.316,2.524,0.939,6.869
19,1.072,1.077,1.058,9.113
20,2.617,1.45,1.315,8.472
21,3.099,2.162,1.441,7.885
22,1.8,1.678,1.671,7.279
23,0.953,1.553,1.307,10.301
24,0.946,1.2,2.403,9.233
