,0,1,2,3
0,5.001,0.0,1.191,11.953
1,2.622,1.193,1.028,6.76
2,0.0,1.605,2.017,8.84
3,1.805,1.159,1.443,6.45
4,3.276,1.585,1.666,10.349
5,3.342,1.673,1.563,9.325
6,5.054,0.0,1.197,12.526
7,3.474,2.149,1.197,8.869
8,4.557,1.201,1.934,8.691
9,1.072,1.915,1.335,14.863
10,2.5,1.32,1.678,8.298
11,3.007,1.318,1.705,9.742
12,3.212,1.195,1.348,10.755
13,4.464,1.327,1.297,9.717
14,3.201,1.573,1.428,11.09
15,1.194,1.821,1.329,8.168
16,3.117,1.55,1.308,12.081
17,5.365,0.59,2.613,7.543
18,0.0,1.208,1.543,6.388
19,6.33,1.779,0.0,8.145
20,2.004,1.445,1.19,8.472
21,0.0,1.564,1.318,8.484
22,2.386,1.799,1.67,7.401
23,4.754,0.708,1.069,10.66
24,4.778,0.0,1.1,10.417
