,0,1,2,3
0,1.576,1.803,2.018,9.038
1,3.137,1.777,1.495,10.169
2,1.445,1.617,1.657,8.963
3,2.814,2.003,1.505,9.786
4,1.281,1.83,2.821,7.664
5,1.927,1.685,1.081,12.099
6,3.549,1.933,2.169,10.66
7,1.317,1.942,2.879,10.295
8,2.468,1.931,1.235,12.236
9,2.153,1.689,1.55,6.447
10,1.197,1.325,2.017,8.044
11,2.151,1.557,1.191,9.336
12,1.32,1.934,1.563,8.503
13,2.888,2.041,1.338,9.978
14,1.665,1.77,2.027,9.702
15,3.586,1.808,1.333,10.989
16,2.784,1.556,1.552,11.438
17,1.439,1.81,1.554,7.808
18,2.052,1.326,0.97,10.272
19,2.977,1.456,2.292,7.45
20,1.535,1.427,2.506,8.135
21,2.077,1.67,1.424,6.783
22,3.17,1.554,1.382,10.273
23,3.139,2.333,1.455,9.13
24,2.751,2.167,1.671,9.562
