,0,1,2,3
0,1.192,2.043,1.428,10.54
1,1.442,1.423,1.551,6.429
2,1.683,1.926,2.166,6.415
3,1.698,1.911,1.562,8.649
4,1.682,1.561,1.284,9.372
5,2.409,1.443,1.418,12.611
6,0.396,2.1,2.333,13.904
7,1.355,1.49,1.475,8.453
8,3.725,1.224,1.342,11.486
9,1.443,1.93,2.398,10.894
10,1.798,1.19,1.48,9.032
11,1.334,1.072,1.792,8.553
12,1.318,1.26,2.261,9.009
13,4.432,1.665,1.801,9.125
14,1.811,1.565,1.308,6.789
15,1.534,1.307,1.425,9.219
16,1.305,1.31,1.549,13.382
17,1.43,1.828,1.191,11.612
18,1.414,1.437,1.431,10.351
19,1.904,2.412,1.769,7.579
20,1.464,1.332,1.182,10.355
21,1.325,1.201,1.544,7.609
22,1.44,1.421,1.55,8.961
23,2.265,1.686,2.38,8.719
24,1.327,1.684,1.554,7.106
