,0,1,2,3
0,1.82,1.549,1.302,9.632
1,1.224,1.035,1.497,10.294
2,1.965,1.498,1.279,8.676
3,1.234,1.017,1.674,10.253
4,1.279,1.132,2.042,8.469
5,2.173,1.439,1.205,12.571
6,2.754,1.469,1.26,11.315
7,1.315,1.935,2.037,11.264
8,1.252,1.936,2.025,11.582
9,1.68,2.171,1.304,6.447
10,1.316,1.326,1.772,8.168
11,0.959,1.798,1.081,9.57
12,0.0,1.452,1.919,8.022
13,1.099,2.289,1.087,10.101
14,1.673,1.299,0.0,12.097
15,1.203,1.216,1.819,10.744
16,1.48,2.289,1.19,11.438
17,1.561,1.802,1.315,7.93
18,1.553,1.451,1.572,10.517
19,1.439,1.324,1.319,8.298
20,1.536,1.431,2.137,8.381
21,1.949,1.675,1.302,6.902
22,1.491,1.556,1.397,10.148
23,3.008,2.17,1.93,8.413
24,1.555,1.558,3.457,7.419
